code,name,stockType,categoryA,categoryB,categoryC
033250,체시스,보통주,경기소비재,자동차 및 부품,자동차부품
024070,위스컴,보통주,소재,소재,화학
000180,성창기업지주,보통주,소재,소재,종이 및 목재
044380,주연테크,보통주,IT,하드웨어,컴퓨터 및 주변기기
012330,현대모비스,보통주,경기소비재,자동차 및 부품,자동차부품
009150,삼성전기,보통주,IT,하드웨어,전자 장비 및 기기
006490,인스코비,보통주,통신서비스,통신서비스,무선통신
035250,강원랜드,보통주,경기소비재,소비자 서비스,호텔 및 레저
004800,효성,보통주,산업재,자본재,복합 산업
000880,한화,보통주,산업재,자본재,복합 산업
375500,디엘이앤씨,보통주,산업재,자본재,건설
009180,한솔로지스틱스,보통주,산업재,운송,육상운수
033780,케이티앤지,보통주,필수소비재,음식료 및 담배,담배
009310,참엔지니어링,보통주,IT,디스플레이,디스플레이 및 관련부품
013000,세우글로벌,보통주,소재,소재,화학
009190,대양금속,보통주,소재,소재,금속 및 광물
007980,태평양물산,보통주,경기소비재,내구소비재 및 의류,섬유 및 의복
336370,솔루스첨단소재,보통주,IT,하드웨어,전자 장비 및 기기
002710,티씨씨스틸,보통주,소재,소재,금속 및 광물
019490,하이트론씨스템즈,보통주,IT,하드웨어,보안장비
352820,빅히트엔터테인먼트,보통주,경기소비재,미디어,미디어
032830,삼성생명보험,보통주,금융,보험,보험
017960,한국카본,보통주,소재,소재,화학
023590,다우기술,보통주,금융,증권,증권
007810,코리아써키트,보통주,IT,하드웨어,전자 장비 및 기기
118000,우리들휴브레인,보통주,IT,소프트웨어,IT 서비스
016360,삼성증권,보통주,금융,증권,증권
034730,SK,보통주,에너지,에너지,석유 및 가스
007110,일신석재,보통주,소재,소재,건축소재
016740,두올,보통주,경기소비재,자동차 및 부품,자동차부품
005440,현대그린푸드,보통주,경기소비재,소비자 서비스,호텔 및 레저
009580,무림피앤피,보통주,소재,소재,종이 및 목재
003670,포스코케미칼,보통주,소재,소재,화학
004310,현대약품,보통주,의료,제약 및 바이오,제약
005420,코스모화학,보통주,소재,소재,화학
020150,일진머티리얼즈,보통주,IT,하드웨어,전자 장비 및 기기
003000,부광약품,보통주,의료,제약 및 바이오,제약
004870,티웨이홀딩스,보통주,산업재,운송,항공운수
129260,인터지스,보통주,산업재,운송,해상운수
005950,이수화학,보통주,소재,소재,화학
079160,씨제이씨지브이,보통주,경기소비재,미디어,미디어
298040,효성중공업,보통주,산업재,자본재,기계
027970,세하,보통주,소재,소재,종이 및 목재
011790,SKC,보통주,소재,소재,화학
084680,이월드,보통주,경기소비재,소비자 서비스,호텔 및 레저
010600,웰바이오텍,보통주,경기소비재,내구소비재 및 의류,섬유 및 의복
