code,name,stockType,closePrice,reate,tradeAmount,market_value,PER,결산월,listingDate,categoryA,categoryB,categoryC,faceValue,issuedStocks,price,high,low,transactionPrice,TotalAssets,sales,operationProfit,salesGrowthRate,DPS,ROA,ROE
010620,현대미포조선,보통주,28650,1.57,122006,11443,34.54,12,19831220,산업재,자본재,조선,5000,39942149,28300,28600,28100,1891,33806,29941,92620,24.6,350,1.79,2.31
027410,비지에프,보통주,4225,-.12,121778,4044,19.91,12,20140519,경기소비재,유통,도소매,1000,95716791,4205,4230,4150,559,16574,2403,29385,8.94,110,1.07,1.79
145720,덴티움,보통주,39350,3.68,120408,4356,40.28,12,20170315,의료,의료 장비 및 서비스,의료 장비 및 서비스,500,11068830,37850,38300,37400,1994,5471,2526,44656,35.57,,2.79,7.37
009200,무림페이퍼,보통주,2385,0,120123,992,-10.76,12,19900609,소재,소재,종이 및 목재,2500,41609310,2410,2435,2385,56,21585,11237,68822,1.32,50,-.33,-2.17
015540,쎌마테라퓨틱스,보통주,7440,-.27,119686,849,-1.57,12,19890902,경기소비재,유통,도소매,500,11409704,7680,7680,7400,868,154,77,-12742,-79.51,,-141.53,-724.1
322000,현대에너지솔루션(주),보통주,35100,2.28,118211,3931,6.18,12,20191119,에너지,에너지,에너지 시설 및 서비스,5000,11200000,35100,35200,34050,6153,4812,4461,22060,28.33,,6.22,8.48
042660,대우조선해양,보통주,22850,-.22,117716,24497,-64.23,12,20010202,산업재,자본재,조선,5000,107290669,23100,23100,22700,2629,112761,83587,292761,-13.33,,-.4,-1.22
229640,엘에스전선아시아,보통주,7480,-.8,117487,2291,15.33,12,20160922,산업재,자본재,전기장비,500,30624879,7670,7670,7500,1020,3597,5203,25955,17.91,180,4.82,12.07
039490,키움증권,보통주,108000,2.78,115869,23888,5.56,12,20090803,금융,증권,증권,5000,22118742,100500,106500,99500,22986,233736,8651,473691,39.96,2000,1.74,16.97
024070,위스컴,보통주,2305,-.65,115342,353,37.89,12,19961122,소재,소재,화학,500,15326438,2505,2695,2315,1129,1342,1155,827,3.15,50,.82,.92
030790,비케이탑스,보통주,6540,-2.91,114423,803,-1.45,12,20101102,IT,소프트웨어,IT 서비스,500,12284904,6530,7080,5940,2558,966,557,-14047,-20.44,,-28.99,-65.09
004560,현대비앤지스틸,보통주,7910,-.51,113891,1193,6.28,12,19870324,소재,소재,금속 및 광물,5000,15078811,7720,8040,7600,1559,6086,7333,36519,2.89,100,3.59,5.55
004150,한솔홀딩스,보통주,3500,-1,112989,1470,7.81,12,19720517,산업재,자본재,복합 산업,1000,42008577,3515,3540,3470,451,6664,5416,11800,-10.03,,2.61,6
018250,애경산업,보통주,22350,-.45,112189,5903,17.97,12,20180322,필수소비재,생활용품,개인생활용품,1000,26409935,21650,22450,21400,4413,4515,7013,60601,.25,450,9.67,12.86
009310,참엔지니어링,보통주,1370,0,112104,760,-3.69,12,19871112,IT,디스플레이,디스플레이 및 관련부품,500,55445022,1390,1390,1350,211,7154,1125,-13642,-45.57,,-2.22,-33.98
069730,디에스알제강,보통주,4650,.32,111066,670,9.7,12,20030128,소재,소재,금속 및 광물,500,14400000,4740,4740,4625,203,2016,1915,5203,3.36,40,3.32,4.86
001820,삼화콘덴서공업,보통주,52200,-2.3,110088,5426,18.34,12,19760626,산업재,자본재,전기장비,1000,10395000,54600,54600,53400,2584,2148,2545,37278,-7.25,250,13.71,21.24
006260,LS,보통주,57100,.18,109138,18386,60.76,12,19770630,산업재,자본재,전기장비,5000,32200000,57200,58400,56700,11750,107635,101762,272431,.83,1450,.87,.8
011300,성안,보통주,359,.56,108960,204,-3.26,12,19951110,경기소비재,내구소비재 및 의류,섬유 및 의복,500,56857860,357,358,353,14,3114,2169,-13038,-1.51,,-5.25,-16.49
103590,일진전기,보통주,2860,-.17,108369,1061,31.12,12,20080801,산업재,자본재,전기장비,1000,37080390,2935,2935,2830,211,7808,6683,11424,-8.63,,.46,1.19
051600,한전KPS,보통주,28300,-.35,107561,12735,11.49,12,20071214,유틸리티,유틸리티,전력,200,45000000,28100,28400,27900,5968,13594,12469,193939,.36,1920,11.61,14.98
007280,한국특수형강,보통주,1780,.84,107079,948,-2.36,12,19891113,소재,소재,금속 및 광물,500,53242476,1800,1835,1765,277,3135,3910,-8231,7.12,,-6.82,-27.55
018260,삼성에스디에스,보통주,172500,-.87,105009,133477,20.44,12,20141114,IT,소프트웨어,IT 서비스,500,77377800,174500,175500,171500,20291,90212,107196,990089,6.83,2400,8.81,11.76
053690,한미글로벌건축사사무소,보통주,8560,.7,103723,938,4.71,12,20090623,산업재,자본재,건설,500,10957550,8910,8910,8490,2458,2036,2947,24407,41.85,200,11.33,20.64
357250,미래에셋맵스제1호위탁관리부동산투자회사,보통주,4995,0,103696,1004,,11,20200805,,,,1000,20100000,4965,5000,4955,577,,,,,,,
007980,태평양물산,보통주,1625,-.62,103442,782,11.77,12,19941227,경기소비재,내구소비재 및 의류,섬유 및 의복,500,48149587,1620,1655,1615,167,6133,9716,43215,-.04,30,1.92,6.99
003220,대원제약,보통주,18700,.27,102326,3786,12.47,12,19991215,의료,제약 및 바이오,제약,500,20243603,19150,19200,18450,3490,3275,3178,35107,10.88,252.43,8.92,14.05
014790,한라,보통주,3365,3.42,101242,1308,58.86,12,19940812,산업재,자본재,건설,5000,38874942,3315,3315,3230,229,15882,13049,67694,.4,,.16,.97
